"No.","Time","Source","Destination","Protocol","Length","Info"
"841","16.208564","69.173.158.65","192.168.32.32","TCP","72","443  >  49734 [PSH, ACK] Seq=4162 Ack=5032 Win=89600 Len=18 [TCP PDU reassembled in 842]"
"842","16.208564","69.173.158.65","192.168.32.32","TLSv1.3","80","Application Data"
"844","16.213900","69.173.158.65","192.168.32.32","TLSv1.3","278","Application Data"
"845","16.214212","69.173.158.65","192.168.32.32","TLSv1.3","431","Application Data"
"848","16.216160","146.75.113.44","192.168.32.32","TCP","60","443  >  49704 [ACK] Seq=1 Ack=96 Win=315 Len=0"
"849","16.216304","146.75.113.44","192.168.32.32","TCP","60","443  >  49704 [ACK] Seq=1 Ack=135 Win=315 Len=0"
"850","16.216304","146.75.113.44","192.168.32.32","TLSv1.2","93","Application Data"
"851","16.216632","35.227.252.103","192.168.32.32","QUIC","612","Protected Payload (KP0)"
"852","16.217098","146.75.113.44","192.168.32.32","TCP","60","443  >  49704 [ACK] Seq=40 Ack=3526 Win=329 Len=0"
"853","16.239866","69.173.158.65","192.168.32.32","TCP","60","[TCP Window Update] 443  >  49734 [ACK] Seq=4807 Ack=5032 Win=106400 Len=0"
"854","16.241658","69.173.158.65","192.168.32.32","TCP","60","443  >  49734 [ACK] Seq=4807 Ack=5063 Win=109200 Len=0"
"855","16.247047","69.173.158.65","192.168.32.32","TCP","60","[TCP Window Update] 443  >  49734 [ACK] Seq=4807 Ack=5063 Win=114800 Len=0"
"859","16.267615","182.161.73.172","192.168.32.32","TCP","60","443  >  49733 [ACK] Seq=855 Ack=6591 Win=64512 Len=0"
"860","16.272119","69.173.158.65","192.168.32.32","TLSv1.3","101","Application Data"
"861","16.272279","69.173.158.65","192.168.32.32","TLSv1.3","431","Application Data"
"863","16.280983","13.228.147.32","192.168.32.32","TCP","60","443  >  49706 [ACK] Seq=1424 Ack=3609 Win=425 Len=0"
"864","16.300947","35.227.252.103","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"865","16.302585","207.65.33.78","192.168.32.32","TCP","60","443  >  49699 [ACK] Seq=1 Ack=1401 Win=5634 Len=0"
"866","16.302667","207.65.33.78","192.168.32.32","TCP","66","[TCP Dup ACK 865#1] 443  >  49699 [ACK] Seq=1 Ack=1401 Win=5634 Len=0 SLE=2801 SRE=2906"
"867","16.302877","207.65.33.78","192.168.32.32","TCP","66","[TCP Dup ACK 865#2] 443  >  49699 [ACK] Seq=1 Ack=1401 Win=5634 Len=0 SLE=2801 SRE=2945"
"868","16.302877","207.65.33.78","192.168.32.32","TCP","66","[TCP Dup ACK 865#3] 443  >  49699 [ACK] Seq=1 Ack=1401 Win=5634 Len=0 SLE=2801 SRE=4345"
"869","16.302877","207.65.33.78","192.168.32.32","TCP","66","[TCP Dup ACK 865#4] 443  >  49699 [ACK] Seq=1 Ack=1401 Win=5634 Len=0 SLE=2801 SRE=5256"
"870","16.302877","207.65.33.78","192.168.32.32","TCP","60","443  >  49699 [ACK] Seq=1 Ack=5256 Win=6598 Len=0"
"871","16.303258","207.65.33.78","192.168.32.32","TLSv1.2","93","Application Data"
"872","16.305817","69.173.158.65","192.168.32.32","TCP","60","[TCP Window Update] 443  >  49734 [ACK] Seq=5231 Ack=5063 Win=117600 Len=0"
"873","16.326337","165.227.252.212","192.168.32.32","TCP","60","443  >  49702 [ACK] Seq=1 Ack=1179 Win=501 Len=0"
"874","16.326337","165.227.252.212","192.168.32.32","TCP","60","443  >  49702 [ACK] Seq=1 Ack=2157 Win=497 Len=0"
"875","16.326337","165.227.252.212","192.168.32.32","TCP","60","443  >  49702 [ACK] Seq=1 Ack=3133 Win=491 Len=0"
"876","16.330215","34.120.63.153","192.168.32.32","TLSv1.2","595","Application Data"
"877","16.330215","34.120.63.153","192.168.32.32","TLSv1.2","757","Application Data"
"879","16.330532","34.120.63.153","192.168.32.32","TLSv1.2","93","Application Data"
"880","16.332022","165.227.252.212","192.168.32.32","TLSv1.2","133","Application Data"
"882","16.344767","34.120.63.153","192.168.32.32","TCP","60","443  >  49705 [ACK] Seq=1315 Ack=6041 Win=1025 Len=0"
"885","16.359845","54.151.166.244","192.168.32.32","TLSv1.2","774","Application Data"
"888","16.391217","104.18.26.193","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"890","16.395851","142.251.220.132","192.168.32.32","TCP","66","443  >  49561 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2"
"891","16.399159","207.65.33.78","192.168.32.32","TLSv1.2","141","Application Data"
"892","16.417918","182.161.73.172","192.168.32.32","TLSv1.3","633","Application Data"
"895","16.474001","54.151.166.244","192.168.32.32","TCP","60","443  >  49707 [ACK] Seq=809 Ack=5303 Win=27 Len=0"
"896","16.499789","69.173.158.65","192.168.32.32","TLSv1.3","124","Application Data"
"897","16.499858","69.173.158.65","192.168.32.32","TLSv1.3","431","Application Data"
"900","16.506650","142.251.220.195","192.168.32.32","TCP","66","443  >  49562 [ACK] Seq=1 Ack=2 Win=1048 Len=0 SLE=1 SRE=2"
"901","16.512975","146.75.113.44","192.168.32.32","TLSv1.2","163","Application Data"
"902","16.533410","69.173.158.65","192.168.32.32","TCP","60","[TCP Window Update] 443  >  49734 [ACK] Seq=5678 Ack=5063 Win=120400 Len=0"
"903","16.543846","106.10.236.40","192.168.32.32","TLSv1.2","818","Application Data"
"907","16.618338","106.10.236.40","192.168.32.32","TCP","60","443  >  49697 [ACK] Seq=804 Ack=7699 Win=9 Len=0"
"908","16.628967","104.18.26.193","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"909","16.663078","104.18.26.193","192.168.32.32","QUIC","767","Protected Payload (KP0)"
"911","16.827880","165.227.252.212","192.168.32.32","TLSv1.2","385","Application Data"
"913","16.871345","106.10.218.155","192.168.32.32","TCP","60","443  >  49696 [ACK] Seq=856 Ack=1961 Win=449 Len=0"
"915","16.876197","106.10.218.155","192.168.32.32","TLSv1.2","674","Application Data"
"926","16.886176","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f1e9ed55ef72e449, PKN: 3, ACK, PADDING"
"927","16.886176","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f1e9ed55ef72e449, PKN: 1, ACK"
"928","16.886176","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f1e9ed55ef72e449, PKN: 2, ACK"
"929","16.886176","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f1e9ed55ef72e449, PKN: 4, ACK, PADDING"
"931","16.907347","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f1e9ed55ef72e449, PKN: 5, ACK, PADDING"
"932","16.909813","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f1e9ed55ef72e449, PKN: 6, CRYPTO, PADDING"
"933","16.910068","142.251.221.34","192.168.32.32","QUIC","338","Protected Payload (KP0)"
"934","16.910068","142.251.221.34","192.168.32.32","QUIC","996","Protected Payload (KP0)"
"937","16.910857","142.251.221.34","192.168.32.32","QUIC","85","Protected Payload (KP0)"
"938","16.910857","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"939","16.914954","142.251.221.34","192.168.32.32","QUIC","162","Protected Payload (KP0)"
"940","16.914954","142.251.221.34","192.168.32.32","QUIC","64","Protected Payload (KP0)"
"943","16.948268","142.251.221.34","192.168.32.32","QUIC","64","Protected Payload (KP0)"
"947","17.131382","142.251.221.34","192.168.32.32","QUIC","67","Protected Payload (KP0)"
"949","17.373499","142.251.221.34","192.168.32.32","QUIC","68","Protected Payload (KP0)"
"950","17.431020","142.251.221.34","192.168.32.32","QUIC","1288","Protected Payload (KP0)"
"951","17.431020","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"952","17.431020","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"953","17.431020","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"954","17.431020","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"955","17.431136","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"956","17.431136","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"957","17.431136","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"958","17.431136","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"959","17.431136","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"960","17.431136","142.251.221.34","192.168.32.32","QUIC","1292","Protected Payload (KP0)"
"961","17.431136","142.251.221.34","192.168.32.32","QUIC","1123","Protected Payload (KP0)"
"962","17.431136","142.251.221.34","192.168.32.32","QUIC","161","Protected Payload (KP0)"
"972","17.441926","142.251.220.136","192.168.32.32","TCP","66","443  >  49563 [ACK] Seq=1 Ack=2 Win=1047 Len=0 SLE=1 SRE=2"
"973","17.445444","142.251.220.194","192.168.32.32","UDP","71","443  >  63823 Len=29"
"975","17.460581","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"977","17.462535","142.251.221.34","192.168.32.32","QUIC","64","Protected Payload (KP0)"
"984","17.468567","142.251.220.194","192.168.32.32","UDP","124","443  >  63823 Len=82"
"985","17.468878","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"988","17.470132","142.251.220.132","192.168.32.32","TCP","60","443  >  49714 [ACK] Seq=1 Ack=246 Win=1046 Len=0"
"989","17.472722","142.251.220.194","192.168.32.32","UDP","71","443  >  63823 Len=29"
"990","17.472985","142.251.220.194","192.168.32.32","UDP","128","443  >  63823 Len=86"
"992","17.473585","142.251.220.194","192.168.32.32","UDP","70","443  >  63823 Len=28"
"993","17.477611","142.251.220.194","192.168.32.32","UDP","70","443  >  63823 Len=28"
"1000","17.485652","142.251.220.194","192.168.32.32","UDP","128","443  >  63823 Len=86"
"1001","17.486300","142.251.220.194","192.168.32.32","UDP","65","443  >  63823 Len=23"
"1003","17.489389","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f42cca3222c97876, PKN: 1, ACK"
"1004","17.489584","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f42cca3222c97876, PKN: 2, ACK, PADDING"
"1005","17.494551","142.251.221.34","192.168.32.32","QUIC","70","Protected Payload (KP0)"
"1006","17.496496","142.251.220.194","192.168.32.32","UDP","90","443  >  63823 Len=48"
"1007","17.496748","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1008","17.496904","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1010","17.497091","142.251.221.34","192.168.32.32","QUIC","242","Protected Payload (KP0)"
"1013","17.497443","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1015","17.497806","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1016","17.497901","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1017","17.498502","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1018","17.498609","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1020","17.499201","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1022","17.500320","142.251.220.132","192.168.32.32","TLSv1.2","279","Application Data"
"1023","17.500486","142.251.220.132","192.168.32.32","TLSv1.2","85","Application Data"
"1024","17.500486","142.251.220.132","192.168.32.32","TLSv1.2","93","Application Data"
"1027","17.501768","142.251.220.194","192.168.32.32","UDP","66","443  >  63823 Len=24"
"1028","17.501882","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f42cca3222c97876, PKN: 3, ACK, PADDING"
"1029","17.503169","142.251.220.194","192.168.32.32","UDP","66","443  >  63823 Len=24"
"1031","17.509313","142.251.220.132","192.168.32.32","TCP","60","443  >  49714 [ACK] Seq=296 Ack=285 Win=1046 Len=0"
"1034","17.512938","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f42cca3222c97876, PKN: 4, CRYPTO, PADDING"
"1035","17.513105","142.251.221.34","192.168.32.32","QUIC","340","Protected Payload (KP0)"
"1036","17.513105","142.251.221.34","192.168.32.32","QUIC","994","Protected Payload (KP0)"
"1039","17.513702","142.251.221.34","192.168.32.32","QUIC","87","Protected Payload (KP0)"
"1040","17.513702","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1041","17.513957","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1043","17.517552","142.251.220.194","192.168.32.32","UDP, HiPerConTracer","73","443  >  63823 Len=31 (SendTTL=14, Round=145)"
"1044","17.518031","142.251.221.34","192.168.32.32","QUIC","162","Protected Payload (KP0)"
"1045","17.518071","142.251.221.34","192.168.32.32","QUIC","64","Protected Payload (KP0)"
"1048","17.530139","142.251.221.34","192.168.32.32","QUIC","71","Protected Payload (KP0)"
"1051","17.535237","142.251.220.194","192.168.32.32","UDP","73","443  >  63823 Len=31"
"1053","17.541037","142.251.221.34","192.168.32.32","QUIC","611","Protected Payload (KP0)"
"1054","17.541252","142.251.220.194","192.168.32.32","UDP","96","443  >  63823 Len=54"
"1055","17.541347","142.251.221.34","192.168.32.32","QUIC","88","Protected Payload (KP0)"
"1057","17.541656","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1059","17.541699","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1060","17.541699","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1061","17.542005","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1064","17.542489","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1066","17.543573","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1067","17.543927","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1068","17.547664","142.251.220.194","192.168.32.32","UDP","66","443  >  63823 Len=24"
"1070","17.552420","142.251.220.194","192.168.32.32","UDP","71","443  >  63823 Len=29"
"1073","17.556918","142.251.221.34","192.168.32.32","QUIC","96","Protected Payload (KP0)"
"1075","17.557666","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1076","17.559394","142.251.220.194","192.168.32.32","UDP","96","443  >  63823 Len=54"
"1077","17.559580","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1078","17.560084","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1079","17.560084","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1083","17.566312","142.251.220.194","192.168.32.32","UDP","71","443  >  63823 Len=29"
"1085","17.572724","142.251.220.194","192.168.32.32","UDP","96","443  >  63823 Len=54"
"1086","17.572801","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1087","17.573170","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1089","17.582390","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1090","17.582756","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1093","17.586721","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1094","17.588124","142.251.220.194","192.168.32.32","UDP","66","443  >  63823 Len=24"
"1095","17.589923","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1096","17.590229","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1097","17.591537","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1099","17.592221","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1103","17.606305","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x65db A www.googleadservices.com A 142.251.221.34"
"1104","17.606462","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x486d HTTPS www.googleadservices.com HTTPS"
"1107","17.614041","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=e7cf85b7251bf2f7, PKN: 1, ACK"
"1108","17.614916","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e7cf85b7251bf2f7, PKN: 2, ACK, PADDING"
"1109","17.614916","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e7cf85b7251bf2f7, PKN: 3, CRYPTO, PADDING"
"1110","17.614956","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e7cf85b7251bf2f7, PKN: 4, CRYPTO, PADDING"
"1112","17.621489","142.251.220.194","192.168.32.32","UDP","67","443  >  63823 Len=25"
"1115","17.630689","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0xc7e4 A www.googleadservices.com A 142.251.221.34"
"1117","17.635544","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x083a HTTPS www.googleadservices.com HTTPS"
"1121","17.637861","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e7cf85b7251bf2f7"
"1122","17.637861","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e7cf85b7251bf2f7"
"1123","17.637861","142.251.221.34","192.168.32.32","QUIC","1265","Protected Payload (KP0)"
"1124","17.637861","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=e7cf85b7251bf2f7"
"1130","17.640568","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e7cf85b7251bf2f7"
"1131","17.640568","142.251.221.34","192.168.32.32","QUIC","149","Protected Payload (KP0)"
"1134","17.642552","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=e3258581af8fda92, PKN: 1, ACK"
"1135","17.643022","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"1136","17.643022","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"1137","17.643222","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e3258581af8fda92, PKN: 2, ACK, PADDING"
"1138","17.643222","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e3258581af8fda92, PKN: 3, CRYPTO, PADDING"
"1139","17.643222","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=e3258581af8fda92, PKN: 4, CRYPTO, PADDING"
"1143","17.643874","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1144","17.643874","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"1146","17.645334","142.251.221.34","192.168.32.32","QUIC","67","Protected Payload (KP0)"
"1147","17.645644","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1149","17.665967","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e3258581af8fda92"
"1150","17.665967","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e3258581af8fda92"
"1151","17.665967","142.251.221.34","192.168.32.32","QUIC","1272","Protected Payload (KP0)"
"1157","17.668780","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=e3258581af8fda92"
"1158","17.668780","142.251.221.34","192.168.32.32","QUIC","154","Protected Payload (KP0)"
"1161","17.670228","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"1162","17.671215","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1164","17.671719","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"1165","17.671719","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"1168","17.672186","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1169","17.672316","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"1171","17.673633","142.251.221.34","192.168.32.32","QUIC","67","Protected Payload (KP0)"
"1172","17.673901","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1175","17.698138","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x60e5 A www.googleadservices.com A 142.251.221.34"
"1176","17.698902","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"1177","17.699477","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1179","17.701758","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1180","17.702666","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x51ba HTTPS www.googleadservices.com HTTPS"
"1183","17.709561","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=eba051a8a6985588, PKN: 1, ACK"
"1184","17.710050","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=eba051a8a6985588, PKN: 2, ACK, PADDING"
"1185","17.710050","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=eba051a8a6985588, PKN: 3, CRYPTO, PADDING"
"1186","17.710050","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=eba051a8a6985588, PKN: 4, CRYPTO, PADDING"
"1191","17.728701","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x0afb A www.googleadservices.com A 142.251.221.34"
"1192","17.730474","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1193","17.733046","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=eba051a8a6985588"
"1194","17.733046","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=eba051a8a6985588"
"1195","17.733046","142.251.221.34","192.168.32.32","QUIC","1266","Protected Payload (KP0)"
"1196","17.733046","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=eba051a8a6985588"
"1198","17.733295","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0xfa23 HTTPS www.googleadservices.com HTTPS"
"1205","17.738889","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"1206","17.738889","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"1209","17.739416","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1210","17.739554","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"1212","17.740723","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=f5da6aec5e136870, PKN: 1, ACK"
"1213","17.741803","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f5da6aec5e136870, PKN: 2, ACK, PADDING"
"1214","17.741803","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f5da6aec5e136870, PKN: 3, CRYPTO, PADDING"
"1215","17.741803","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=f5da6aec5e136870, PKN: 4, CRYPTO, PADDING"
"1221","17.764871","142.251.220.194","192.168.32.32","UDP","73","443  >  63823 Len=31"
"1222","17.764971","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f5da6aec5e136870"
"1223","17.764971","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=f5da6aec5e136870"
"1224","17.764971","142.251.221.34","192.168.32.32","QUIC","1258","Protected Payload (KP0)"
"1225","17.764971","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=f5da6aec5e136870"
"1231","17.766051","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"1232","17.766181","142.251.220.194","192.168.32.32","UDP","72","443  >  63823 Len=30"
"1234","17.766653","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1236","17.770737","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
"1237","17.770737","142.251.221.34","192.168.32.32","QUIC","179","Protected Payload (KP0)"
"1241","17.771237","142.251.221.34","192.168.32.32","QUIC","69","Protected Payload (KP0)"
"1242","17.771237","142.251.221.34","192.168.32.32","QUIC","65","Protected Payload (KP0)"
"1244","17.788401","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1245","17.788530","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1246","17.788804","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1247","17.788804","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1248","17.789318","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1251","17.789566","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1253","17.796098","142.251.220.194","192.168.32.32","UDP","76","443  >  63823 Len=34"
"1254","17.796131","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1255","17.796875","142.251.221.34","192.168.32.32","QUIC","302","Protected Payload (KP0)"
"1257","17.797391","142.251.221.34","192.168.32.32","QUIC","63","Protected Payload (KP0)"
"1259","17.818493","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1260","17.818928","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1261","17.819055","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1262","17.819315","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1263","17.819568","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1265","17.819937","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1267","17.825366","142.251.220.194","192.168.32.32","UDP","72","443  >  63823 Len=30"
"1269","17.827664","142.251.221.34","192.168.32.32","QUIC","66","Protected Payload (KP0)"
"1270","17.848581","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1271","17.849119","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1273","17.855779","142.251.220.194","192.168.32.32","UDP","73","443  >  63823 Len=31"
"1275","17.878420","142.251.220.194","192.168.32.32","UDP","83","443  >  63823 Len=41"
"1276","17.878659","142.251.220.194","192.168.32.32","UDP","64","443  >  63823 Len=22"
"1278","17.886473","142.251.220.194","192.168.32.32","UDP","67","443  >  63823 Len=25"
"1284","18.546336","142.251.220.194","192.168.32.32","UDP","73","443  >  63823 Len=31"
"1286","18.571568","142.251.220.194","192.168.32.32","UDP","157","443  >  63823 Len=115"
"1287","18.572217","142.251.220.194","192.168.32.32","UDP","69","443  >  63823 Len=27"
"1289","18.588024","142.251.220.194","192.168.32.32","UDP","67","443  >  63823 Len=25"
"1292","18.750160","140.82.114.26","192.168.32.32","TLSv1.2","80","Application Data"
"1296","19.013409","140.82.114.26","192.168.32.32","TCP","60","443  >  47054 [ACK] Seq=27 Ack=32 Win=70 Len=0"
"1304","22.644080","64.233.187.188","192.168.32.32","TCP","66","443  >  3636 [ACK] Seq=1 Ack=2 Win=1052 Len=0 SLE=1 SRE=2"
"1306","22.653983","34.120.250.63","192.168.32.32","TCP","66","443  >  49566 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2"
"1309","22.702763","192.168.32.1","192.168.32.32","DNS","100","Standard query response 0x1c19 A www.googleadservices.com A 142.251.221.34"
"1310","22.707227","192.168.32.1","192.168.32.32","DNS","109","Standard query response 0x4101 HTTPS www.googleadservices.com HTTPS"
"1313","22.714268","142.251.221.34","192.168.32.32","QUIC","82","Initial, SCID=eec7543faff731a7, PKN: 1, ACK"
"1314","22.715164","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=eec7543faff731a7, PKN: 2, ACK, PADDING"
"1315","22.715164","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=eec7543faff731a7, PKN: 3, CRYPTO, PADDING"
"1316","22.715164","142.251.221.34","192.168.32.32","QUIC","1292","Initial, SCID=eec7543faff731a7, PKN: 4, CRYPTO, PADDING"
"1319","22.737935","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=eec7543faff731a7"
"1320","22.737935","142.251.221.34","192.168.32.32","QUIC","1292","Handshake, SCID=eec7543faff731a7"
"1321","22.737935","142.251.221.34","192.168.32.32","QUIC","1268","Protected Payload (KP0)"
"1322","22.737935","142.251.221.34","192.168.32.32","QUIC","83","Handshake, SCID=eec7543faff731a7"
"1329","22.743992","142.251.221.34","192.168.32.32","QUIC","1004","Protected Payload (KP0)"
